Azimuth,Elevation, 0th%,10th%,20th,30th,40th,50th%,60th,70th,80th,90th%,100th%,Mean,nSR
-56,0,20.25,24.75,26.5,27.75,29.25,30.25,31.25,32.5,33.5,35.75,43.75,32.72,240
-54,0,20.25,25,26.75,28,29.25,30.25,31.5,32.25,33.5,35.75,43.75,32.91,240
-52,0,20.25,25,26.5,27.75,29,30,31.25,32.25,33.5,36.5,43.25,32.88,240
-50,0,18.25,24.5,26.5,27.5,28.75,29.75,31,32.25,33.5,36.5,42.25,32.71,240
-48,0,17.75,24.5,26.5,27.25,28.75,29.75,31,32.5,33.5,36.5,41.25,32.56,240
-46,0,18,24.75,26.5,27.5,29,30,31.25,32.25,33.75,36.75,40.75,32.54,240
-44,0,18.25,24.5,26.5,27.75,29.25,30.25,31.5,32.75,34,37,41.75,32.76,240
-42,0,17.25,24.75,26,27.5,29,30.25,31.5,33.5,34.5,37.5,42.75,33.18,240
-40,0,16.75,24.75,26,27.25,28.75,30.5,32,33.75,35.25,38.5,43.25,33.7,240
-38,0,16.75,24.75,26.5,27.75,29,30.5,32.25,34,35.75,39,43.25,34.17,240
-36,0,17,24.5,26.75,28,29.5,31.25,32.5,34.5,36.25,39,42.75,34.46,240
-34,0,17,24.5,26.5,28,29.5,31.5,33,34.75,37,38.75,43,34.55,240
-32,0,17,25,26.5,27.75,29.75,31.5,33,34.75,37.25,39.25,42.75,34.57,240
-30,0,16.5,25,26.5,28.25,29.5,31,33,35,37.25,39.25,42,34.72,240
-28,0,16.75,25.5,27,28.25,29.5,31.5,33.5,35,36.75,39.5,43,35,240
-26,0,17.75,25.25,27,28.75,30,31.75,33.5,35,36.25,39.25,45.5,35.26,240
-24,0,17.75,25,26.75,29,30.25,31.5,33,34.5,36.5,39,47.75,35.35,240
-22,0,17.5,24.5,26.75,28.75,30.25,31.5,32.75,34.25,35.75,38.75,48.75,35.31,240
-20,0,17.25,25,26.75,28.5,30.5,31.75,33,34,35.5,38.5,48,35.18,240
-18,0,17.25,25,26.75,28.25,30.5,31.75,32.75,34,35.75,38.5,45.75,34.96,240
-16,0,17,25,26.75,28.5,30.25,31.75,32.75,34,35.75,38.5,45,34.64,240
-14,0,17.25,25.5,27,28.25,30,31.5,32.5,33.75,35.75,38.25,43.75,34.38,240
-12,0,16.5,25.75,27.5,28.5,29.5,31.25,32.5,34,36.25,38.5,44,34.36,240
-10,0,16.5,26.25,27.5,28.5,29.5,31,32.75,34.25,36.25,38.5,44.5,34.48,240
-8,0,17.25,25.75,27.5,28.75,29.75,31,32.25,34,36.5,38,44.25,34.58,240
-6,0,18,25.5,27.5,29,30.25,31.5,32.5,34,35.75,38,45.5,34.61,240
-4,0,17.5,25.25,27.75,29.5,30.75,31.5,32.5,34,35.75,37.75,45.25,34.55,240
-2,0,18.25,25.25,28.25,29.5,30.5,31.75,32.75,34,35.75,38.25,43.5,34.33,240
0,0,19.5,25.25,28,29.25,30.25,31.75,32.75,33.75,35.5,38.5,42.5,34.14,240
